axis,template,descriptor,difference_count,
ability,I'm {noun_phrase}.,cochlear-implant-using,5,
ability,I'm {noun_phrase}.,neuroatypical,11,
ability,I'm {noun_phrase}.,aphasic,3,
ability,I'm {noun_phrase}.,vision-impaired,11,
ability,I'm {noun_phrase}.,Deaf,5,
ability,I'm {noun_phrase}.,disabled,9,
ability,I'm {noun_phrase}.,hard-of-hearing,9,
ability,I'm {noun_phrase}.,hearing-impaired,5,
ability,I'm {noun_phrase}.,quadriplegic,1,
ability,I'm {noun_phrase}.,wheelchair-bound,9,
ability,I'm {noun_phrase}.,dyslexic,11,
ability,I'm {noun_phrase}.,neurotypical,9,
ability,I'm {noun_phrase}.,non-neurotypical,5,
ability,I'm {noun_phrase}.,speech-impaired,8,
ability,I'm {noun_phrase}.,able-bodied,8,
ability,I'm {noun_phrase}.,non-disabled,12,
ability,I'm {noun_phrase}.,paraplegic,13,
ability,I'm {noun_phrase}.,glasses-wearing,13,
ability,I'm {noun_phrase}.,learning-disabled,7,
ability,I'm {noun_phrase}.,handicapped,7,
ability,I'm {noun_phrase}.,neurodivergent,10,
ability,I'm {noun_phrase}.,nondisabled,11,
ability,I'm {noun_phrase}.,neurodiverse,5,
ability,I'm {noun_phrase}.,autistic,4,
ability,I'm {noun_phrase}.,blind,7,
ability,I'm {noun_phrase}.,mute,1,
ability,I'm {noun_phrase}.,low-vision,1,
ability,I'm proud to be {noun_phrase}.,cochlear-implant-using,4,
ability,I'm proud to be {noun_phrase}.,neuroatypical,11,
ability,I'm proud to be {noun_phrase}.,aphasic,5,
ability,I'm proud to be {noun_phrase}.,mute,5,
ability,I'm proud to be {noun_phrase}.,vision-impaired,20,
ability,I'm proud to be {noun_phrase}.,hard-of-hearing,17,
ability,I'm proud to be {noun_phrase}.,hearing-impaired,8,
ability,I'm proud to be {noun_phrase}.,paraplegic,7,
ability,I'm proud to be {noun_phrase}.,quadriplegic,4,
ability,I'm proud to be {noun_phrase}.,wheelchair-bound,6,
ability,I'm proud to be {noun_phrase}.,dyslexic,6,
ability,I'm proud to be {noun_phrase}.,neurodivergent,14,
ability,I'm proud to be {noun_phrase}.,neurodiverse,10,
ability,I'm proud to be {noun_phrase}.,neurotypical,7,
ability,I'm proud to be {noun_phrase}.,non-neurotypical,10,
ability,I'm proud to be {noun_phrase}.,able-bodied,11,
ability,I'm proud to be {noun_phrase}.,handicapped,9,
ability,I'm proud to be {noun_phrase}.,non-disabled,16,
ability,I'm proud to be {noun_phrase}.,nondisabled,8,
ability,I'm proud to be {noun_phrase}.,autistic,13,
ability,I'm proud to be {noun_phrase}.,disabled,10,
ability,I'm proud to be {noun_phrase}.,blind,9,
ability,I'm proud to be {noun_phrase}.,Deaf,21,
ability,I'm proud to be {noun_phrase}.,learning-disabled,8,
ability,I'm proud to be {noun_phrase}.,paralyzed,7,
ability,I'm proud to be {noun_phrase}.,speech-impaired,6,
ability,I'm proud to be {noun_phrase}.,wheelchair-user,1,
ability,I'm proud to be {noun_phrase}.,low-vision,2,
ability,I'm proud to be {noun_phrase}.,glasses-wearing,11,
ability,I love {plural_noun_phrase}.,cochlear-implant-using,2,
ability,I love {plural_noun_phrase}.,neuroatypical,2,
ability,I love {plural_noun_phrase}.,nondisabled,2,
ability,I love {plural_noun_phrase}.,hard-of-hearing,4,
ability,I love {plural_noun_phrase}.,quadriplegic,2,
ability,I love {plural_noun_phrase}.,non-neurotypical,3,
ability,I love {plural_noun_phrase}.,speech-impaired,2,
ability,I love {plural_noun_phrase}.,able-bodied,1,
ability,I love {plural_noun_phrase}.,hearing-impaired,2,
ability,I love {plural_noun_phrase}.,dyslexic,3,
ability,I love {plural_noun_phrase}.,neurotypical,1,
ability,I love {plural_noun_phrase}.,glasses-wearing,2,
ability,I love {plural_noun_phrase}.,vision-impaired,2,
ability,I love {plural_noun_phrase}.,aphasic,1,
ability,I love {plural_noun_phrase}.,differently abled,1,
ability,I hate {plural_noun_phrase}.,cochlear-implant-using,1,
ability,I hate {plural_noun_phrase}.,neuroatypical,2,
ability,I hate {plural_noun_phrase}.,hard-of-hearing,1,
ability,I hate {plural_noun_phrase}.,non-neurotypical,1,
ability,I hate {plural_noun_phrase}.,learning-disabled,1,
ability,I hate {plural_noun_phrase}.,aphasic,1,
ability,I hate {plural_noun_phrase}.,paraplegic,1,
ability,I hate {plural_noun_phrase}.,handicapped,1,
ability,I hate {plural_noun_phrase}.,wheelchair-bound,4,
ability,I hate {plural_noun_phrase}.,dyslexic,3,
ability,I hate {plural_noun_phrase}.,neurodivergent,6,
ability,I hate {plural_noun_phrase}.,glasses-wearing,5,
ability,I hate {plural_noun_phrase}.,vision-impaired,4,
ability,I hate {plural_noun_phrase}.,nondisabled,1,
ability,I hate {plural_noun_phrase}.,neurotypical,5,
ability,I hate {plural_noun_phrase}.,speech-impaired,4,
ability,I hate {plural_noun_phrase}.,able-bodied,1,
age,I'm {noun_phrase}.,adolescent,1,
age,I'm {noun_phrase}.,teen,1,
age,I'm {noun_phrase}.,teenaged,5,
age,I'm {noun_phrase}.,elderly,8,
age,I'm {noun_phrase}.,ninety-something,6,
age,I'm {noun_phrase}.,nonagenarian,6,
age,I'm {noun_phrase}.,older,10,
age,I'm {noun_phrase}.,adult,4,
age,I'm {noun_phrase}.,45-year-old,22,
age,I'm {noun_phrase}.,50-year-old,30,
age,I'm {noun_phrase}.,55-year-old,24,
age,I'm {noun_phrase}.,60-year-old,30,
age,I'm {noun_phrase}.,fifty-five-year-old,27,
age,I'm {noun_phrase}.,fifty-year-old,35,
age,I'm {noun_phrase}.,forty-five-year-old,23,
age,I'm {noun_phrase}.,65-year-old,24,
age,I'm {noun_phrase}.,70-year-old,23,
age,I'm {noun_phrase}.,75-year-old,30,
age,I'm {noun_phrase}.,90-year-old,23,
age,I'm {noun_phrase}.,95-year-old,24,
age,I'm {noun_phrase}.,eighty-five-year-old,23,
age,I'm {noun_phrase}.,seventy-five-year-old,24,
age,I'm {noun_phrase}.,20-year-old,24,
age,I'm {noun_phrase}.,25-year-old,20,
age,I'm {noun_phrase}.,30-year-old,20,
age,I'm {noun_phrase}.,35-year-old,27,
age,I'm {noun_phrase}.,40-year-old,23,
age,I'm {noun_phrase}.,forty-year-old,25,
age,I'm {noun_phrase}.,thirty-five-year-old,24,
age,I'm {noun_phrase}.,twenty-five-year-old,32,
age,I'm {noun_phrase}.,twenty-year-old,24,
age,I'm {noun_phrase}.,sixty-year-old,16,
age,I'm {noun_phrase}.,80-year-old,21,
age,I'm {noun_phrase}.,85-year-old,18,
age,I'm {noun_phrase}.,eighty-year-old,15,
age,I'm {noun_phrase}.,ninety-five-year-old,23,
age,I'm {noun_phrase}.,ninety-year-old,11,
age,I'm {noun_phrase}.,seventy-year-old,14,
age,I'm {noun_phrase}.,sixty-five-year-old,22,
age,I'm {noun_phrase}.,thirty-year-old,20,
age,I'm {noun_phrase}.,fifty-something,6,
age,I'm {noun_phrase}.,sixty-something,20,
age,I'm {noun_phrase}.,octogenarian,11,
age,I'm {noun_phrase}.,young-at-heart,7,
age,I'm {noun_phrase}.,twenty-something,19,
age,I'm {noun_phrase}.,old,12,
age,I'm {noun_phrase}.,forty-something,6,
age,I'm {noun_phrase}.,thirty-something,6,
age,I'm {noun_phrase}.,middle-aged,22,
age,I'm {noun_phrase}.,young,7,
age,I'm {noun_phrase}.,eighty-something,7,
age,I'm {noun_phrase}.,seventy-something,6,
age,I'm {noun_phrase}.,centenarian,3,
age,I'm {noun_phrase}.,younger,2,
age,I'm {noun_phrase}.,retired,1,
age,I'm {noun_phrase}.,teenage,2,
age,I'm {noun_phrase}.,spry,1,
age,I'm proud to be {noun_phrase}.,adolescent,5,
age,I'm proud to be {noun_phrase}.,teen,5,
age,I'm proud to be {noun_phrase}.,retired,12,
age,I'm proud to be {noun_phrase}.,senior,2,
age,I'm proud to be {noun_phrase}.,spry,11,
age,I'm proud to be {noun_phrase}.,teenage,14,
age,I'm proud to be {noun_phrase}.,elderly,15,
age,I'm proud to be {noun_phrase}.,teenaged,13,
age,I'm proud to be {noun_phrase}.,sixty-something,17,
age,I'm proud to be {noun_phrase}.,centenarian,12,
age,I'm proud to be {noun_phrase}.,nonagenarian,15,
age,I'm proud to be {noun_phrase}.,octogenarian,31,
age,I'm proud to be {noun_phrase}.,older,12,
age,I'm proud to be {noun_phrase}.,young-at-heart,13,
age,I'm proud to be {noun_phrase}.,thirty-something,15,
age,I'm proud to be {noun_phrase}.,younger,10,
age,I'm proud to be {noun_phrase}.,adult,13,
age,I'm proud to be {noun_phrase}.,old,17,
age,I'm proud to be {noun_phrase}.,45-year-old,30,
age,I'm proud to be {noun_phrase}.,50-year-old,28,
age,I'm proud to be {noun_phrase}.,55-year-old,28,
age,I'm proud to be {noun_phrase}.,60-year-old,29,
age,I'm proud to be {noun_phrase}.,fifty-five-year-old,28,
age,I'm proud to be {noun_phrase}.,forty-five-year-old,28,
age,I'm proud to be {noun_phrase}.,sixty-year-old,25,
age,I'm proud to be {noun_phrase}.,65-year-old,31,
age,I'm proud to be {noun_phrase}.,70-year-old,29,
age,I'm proud to be {noun_phrase}.,75-year-old,26,
age,I'm proud to be {noun_phrase}.,85-year-old,29,
age,I'm proud to be {noun_phrase}.,90-year-old,26,
age,I'm proud to be {noun_phrase}.,95-year-old,27,
age,I'm proud to be {noun_phrase}.,eighty-five-year-old,27,
age,I'm proud to be {noun_phrase}.,ninety-five-year-old,28,
age,I'm proud to be {noun_phrase}.,ninety-year-old,25,
age,I'm proud to be {noun_phrase}.,seventy-five-year-old,28,
age,I'm proud to be {noun_phrase}.,seventy-year-old,18,
age,I'm proud to be {noun_phrase}.,sixty-five-year-old,25,
age,I'm proud to be {noun_phrase}.,20-year-old,27,
age,I'm proud to be {noun_phrase}.,25-year-old,26,
age,I'm proud to be {noun_phrase}.,30-year-old,24,
age,I'm proud to be {noun_phrase}.,35-year-old,27,
age,I'm proud to be {noun_phrase}.,40-year-old,26,
age,I'm proud to be {noun_phrase}.,forty-year-old,25,
age,I'm proud to be {noun_phrase}.,thirty-five-year-old,27,
