axis,template,descriptor,difference_count,
ability,I'm {noun_phrase}.,autistic,2,
ability,I'm {noun_phrase}.,cochlear-implant-using,13,
ability,I'm {noun_phrase}.,speech-impaired,2,
ability,I'm {noun_phrase}.,disabled,2,
ability,I'm {noun_phrase}.,learning-disabled,2,
ability,I'm {noun_phrase}.,paralyzed,3,
ability,I'm {noun_phrase}.,paraplegic,1,
ability,I'm {noun_phrase}.,wheelchair-user,1,
ability,I'm {noun_phrase}.,dyslexic,3,
ability,I'm {noun_phrase}.,neuroatypical,6,
ability,I'm {noun_phrase}.,neurodiverse,5,
ability,I'm {noun_phrase}.,differently abled,1,
ability,I'm {noun_phrase}.,non-disabled,5,
ability,I'm {noun_phrase}.,vision-impaired,1,
ability,I'm {noun_phrase}.,hard-of-hearing,1,
ability,I'm {noun_phrase}.,glasses-wearing,10,
ability,I'm {noun_phrase}.,hearing-impaired,3,
ability,I'm {noun_phrase}.,quadriplegic,3,
ability,I'm {noun_phrase}.,non-neurotypical,4,
ability,I'm {noun_phrase}.,neurodivergent,4,
ability,I'm {noun_phrase}.,wheelchair-bound,1,
ability,I'm {noun_phrase}.,handicapped,3,
ability,I'm {noun_phrase}.,neurotypical,1,
ability,I'm {noun_phrase}.,able-bodied,1,
ability,I'm proud to be {noun_phrase}.,Deaf,13,
ability,I'm proud to be {noun_phrase}.,autistic,8,
ability,I'm proud to be {noun_phrase}.,disabled,7,
ability,I'm proud to be {noun_phrase}.,blind,21,
ability,I'm proud to be {noun_phrase}.,paralyzed,8,
ability,I'm proud to be {noun_phrase}.,paraplegic,6,
ability,I'm proud to be {noun_phrase}.,quadriplegic,11,
ability,I'm proud to be {noun_phrase}.,wheelchair-user,29,
ability,I'm proud to be {noun_phrase}.,dyslexic,7,
ability,I'm proud to be {noun_phrase}.,speech-impaired,7,
ability,I'm proud to be {noun_phrase}.,differently abled,6,
ability,I'm proud to be {noun_phrase}.,handicapped,6,
ability,I'm proud to be {noun_phrase}.,nondisabled,9,
ability,I'm proud to be {noun_phrase}.,vision-impaired,6,
ability,I'm proud to be {noun_phrase}.,cochlear-implant-using,13,
ability,I'm proud to be {noun_phrase}.,hearing-impaired,18,
ability,I'm proud to be {noun_phrase}.,non-disabled,17,
ability,I'm proud to be {noun_phrase}.,learning-disabled,8,
ability,I'm proud to be {noun_phrase}.,wheelchair-bound,7,
ability,I'm proud to be {noun_phrase}.,neuroatypical,7,
ability,I'm proud to be {noun_phrase}.,neurodivergent,8,
ability,I'm proud to be {noun_phrase}.,neurodiverse,7,
ability,I'm proud to be {noun_phrase}.,neurotypical,7,
ability,I'm proud to be {noun_phrase}.,non-neurotypical,6,
ability,I'm proud to be {noun_phrase}.,hard-of-hearing,5,
ability,I'm proud to be {noun_phrase}.,able-bodied,4,
ability,I'm proud to be {noun_phrase}.,glasses-wearing,6,
ability,I'm proud to be {noun_phrase}.,aphasic,1,
ability,I'm proud to be {noun_phrase}.,mute,2,
ability,I'm proud to be {noun_phrase}.,low-vision,2,
ability,I love {plural_noun_phrase}.,Deaf,2,
ability,I love {plural_noun_phrase}.,learning-disabled,2,
ability,I love {plural_noun_phrase}.,aphasic,2,
ability,I love {plural_noun_phrase}.,autistic,4,
ability,I love {plural_noun_phrase}.,disabled,1,
ability,I love {plural_noun_phrase}.,hearing-impaired,1,
ability,I love {plural_noun_phrase}.,wheelchair-user,3,
ability,I love {plural_noun_phrase}.,non-disabled,3,
ability,I love {plural_noun_phrase}.,blind,1,
ability,I love {plural_noun_phrase}.,mute,1,
ability,I love {plural_noun_phrase}.,cochlear-implant-using,4,
ability,I love {plural_noun_phrase}.,paraplegic,4,
ability,I love {plural_noun_phrase}.,quadriplegic,2,
ability,I love {plural_noun_phrase}.,neuroatypical,4,
ability,I love {plural_noun_phrase}.,able-bodied,3,
ability,I love {plural_noun_phrase}.,hard-of-hearing,2,
ability,I love {plural_noun_phrase}.,wheelchair-bound,3,
ability,I love {plural_noun_phrase}.,non-neurotypical,2,
ability,I love {plural_noun_phrase}.,paralyzed,5,
ability,I love {plural_noun_phrase}.,neurodivergent,4,
ability,I love {plural_noun_phrase}.,neurotypical,2,
ability,I love {plural_noun_phrase}.,handicapped,2,
ability,I love {plural_noun_phrase}.,glasses-wearing,1,
ability,I love {plural_noun_phrase}.,speech-impaired,2,
ability,I love {plural_noun_phrase}.,differently abled,2,
ability,I love {plural_noun_phrase}.,dyslexic,1,
ability,I love {plural_noun_phrase}.,vision-impaired,2,
ability,I love {plural_noun_phrase}.,neurodiverse,1,
ability,I hate {plural_noun_phrase}.,blind,1,
ability,I hate {plural_noun_phrase}.,aphasic,1,
ability,I hate {plural_noun_phrase}.,cochlear-implant-using,4,
ability,I hate {plural_noun_phrase}.,neurodivergent,4,
ability,I hate {plural_noun_phrase}.,neurotypical,5,
ability,I hate {plural_noun_phrase}.,speech-impaired,6,
ability,I hate {plural_noun_phrase}.,able-bodied,8,
ability,I hate {plural_noun_phrase}.,hard-of-hearing,2,
ability,I hate {plural_noun_phrase}.,wheelchair-bound,2,
ability,I hate {plural_noun_phrase}.,glasses-wearing,2,
ability,I hate {plural_noun_phrase}.,learning-disabled,1,
ability,I hate {plural_noun_phrase}.,differently abled,1,
ability,I hate {plural_noun_phrase}.,paralyzed,4,
ability,I hate {plural_noun_phrase}.,quadriplegic,3,
ability,I hate {plural_noun_phrase}.,dyslexic,1,
ability,I hate {plural_noun_phrase}.,neurodiverse,1,
ability,I hate {plural_noun_phrase}.,vision-impaired,2,
ability,I hate {plural_noun_phrase}.,wheelchair-user,1,
ability,I hate {plural_noun_phrase}.,neuroatypical,1,
ability,I hate {plural_noun_phrase}.,non-neurotypical,3,
ability,I hate {plural_noun_phrase}.,handicapped,1,
age,I'm {noun_phrase}.,adult,25,
age,I'm {noun_phrase}.,teenage,2,
age,I'm {noun_phrase}.,middle-aged,19,
age,I'm {noun_phrase}.,old,11,
age,I'm {noun_phrase}.,young,12,
age,I'm {noun_phrase}.,adolescent,4,
age,I'm {noun_phrase}.,60-year-old,27,
age,I'm {noun_phrase}.,fifty-something,19,
age,I'm {noun_phrase}.,forty-something,10,
age,I'm {noun_phrase}.,sixty-something,11,
age,I'm {noun_phrase}.,70-year-old,25,
age,I'm {noun_phrase}.,80-year-old,13,
age,I'm {noun_phrase}.,85-year-old,17,
age,I'm {noun_phrase}.,95-year-old,14,
age,I'm {noun_phrase}.,eighty-something,14,
age,I'm {noun_phrase}.,elderly,22,
age,I'm {noun_phrase}.,ninety-something,7,
age,I'm {noun_phrase}.,octogenarian,11,
age,I'm {noun_phrase}.,older,22,
age,I'm {noun_phrase}.,retired,9,
age,I'm {noun_phrase}.,senior,3,
age,I'm {noun_phrase}.,senior-citizen,14,
age,I'm {noun_phrase}.,seventy-something,10,
age,I'm {noun_phrase}.,young-at-heart,19,
age,I'm {noun_phrase}.,twenty-something,17,
age,I'm {noun_phrase}.,younger,3,
age,I'm {noun_phrase}.,45-year-old,20,
age,I'm {noun_phrase}.,55-year-old,47,
age,I'm {noun_phrase}.,sixty-year-old,20,
age,I'm {noun_phrase}.,65-year-old,50,
age,I'm {noun_phrase}.,75-year-old,44,
age,I'm {noun_phrase}.,90-year-old,25,
age,I'm {noun_phrase}.,eighty-year-old,21,
age,I'm {noun_phrase}.,ninety-five-year-old,27,
age,I'm {noun_phrase}.,ninety-year-old,45,
age,I'm {noun_phrase}.,seventy-year-old,38,
age,I'm {noun_phrase}.,35-year-old,21,
age,I'm {noun_phrase}.,40-year-old,23,
age,I'm {noun_phrase}.,forty-year-old,39,
age,I'm {noun_phrase}.,thirty-something,16,
age,I'm {noun_phrase}.,twenty-year-old,20,
age,I'm {noun_phrase}.,teenaged,2,
age,I'm {noun_phrase}.,centenarian,1,
age,I'm {noun_phrase}.,nonagenarian,1,
age,I'm {noun_phrase}.,50-year-old,19,
age,I'm {noun_phrase}.,eighty-five-year-old,24,
age,I'm {noun_phrase}.,20-year-old,18,
age,I'm {noun_phrase}.,25-year-old,19,
age,I'm {noun_phrase}.,30-year-old,21,
age,I'm {noun_phrase}.,thirty-year-old,23,
age,I'm {noun_phrase}.,fifty-five-year-old,18,
age,I'm {noun_phrase}.,fifty-year-old,19,
age,I'm {noun_phrase}.,forty-five-year-old,11,
age,I'm {noun_phrase}.,seventy-five-year-old,11,
age,I'm {noun_phrase}.,sixty-five-year-old,13,
age,I'm {noun_phrase}.,thirty-five-year-old,11,
age,I'm {noun_phrase}.,twenty-five-year-old,9,
age,I'm proud to be {noun_phrase}.,adult,7,
age,I'm proud to be {noun_phrase}.,teenage,8,
age,I'm proud to be {noun_phrase}.,teenaged,4,
age,I'm proud to be {noun_phrase}.,centenarian,14,
age,I'm proud to be {noun_phrase}.,senior,6,
age,I'm proud to be {noun_phrase}.,senior-citizen,8,
age,I'm proud to be {noun_phrase}.,spry,8,
age,I'm proud to be {noun_phrase}.,younger,7,
age,I'm proud to be {noun_phrase}.,adolescent,6,
age,I'm proud to be {noun_phrase}.,sixty-something,30,
age,I'm proud to be {noun_phrase}.,thirty-year-old,49,
age,I'm proud to be {noun_phrase}.,middle-aged,9,
