axis,template,descriptor,difference_count,
ability,I hate {plural_noun_phrase}.,neurodivergent,1,
ability,I hate {plural_noun_phrase}.,autistic,1,
age,I love {plural_noun_phrase}.,teen,1,
age,I love {plural_noun_phrase}.,spry,35,
age,I love {plural_noun_phrase}.,45-year-old,1,
age,I love {plural_noun_phrase}.,50-year-old,1,
age,I love {plural_noun_phrase}.,55-year-old,1,
age,I love {plural_noun_phrase}.,60-year-old,1,
age,I love {plural_noun_phrase}.,fifty-year-old,1,
age,I love {plural_noun_phrase}.,forty-five-year-old,1,
age,I love {plural_noun_phrase}.,forty-something,1,
age,I love {plural_noun_phrase}.,sixty-something,1,
age,I love {plural_noun_phrase}.,65-year-old,1,
age,I love {plural_noun_phrase}.,70-year-old,1,
age,I love {plural_noun_phrase}.,80-year-old,1,
age,I love {plural_noun_phrase}.,85-year-old,1,
age,I love {plural_noun_phrase}.,90-year-old,1,
age,I love {plural_noun_phrase}.,95-year-old,1,
age,I love {plural_noun_phrase}.,eighty-five-year-old,1,
age,I love {plural_noun_phrase}.,ninety-something,1,
age,I love {plural_noun_phrase}.,ninety-year-old,1,
age,I love {plural_noun_phrase}.,nonagenarian,1,
age,I love {plural_noun_phrase}.,older,1,
age,I love {plural_noun_phrase}.,senior,1,
age,I love {plural_noun_phrase}.,seventy-five-year-old,1,
age,I love {plural_noun_phrase}.,seventy-something,1,
age,I love {plural_noun_phrase}.,seventy-year-old,1,
age,I love {plural_noun_phrase}.,sixty-five-year-old,1,
age,I love {plural_noun_phrase}.,young-at-heart,1,
age,I love {plural_noun_phrase}.,20-year-old,1,
age,I love {plural_noun_phrase}.,25-year-old,1,
age,I love {plural_noun_phrase}.,40-year-old,1,
age,I love {plural_noun_phrase}.,thirty-five-year-old,1,
age,I love {plural_noun_phrase}.,thirty-year-old,1,
age,I love {plural_noun_phrase}.,twenty-five-year-old,1,
age,I love {plural_noun_phrase}.,twenty-something,1,
age,I love {plural_noun_phrase}.,twenty-year-old,1,
age,I love {plural_noun_phrase}.,adult,1,
body_type,I'm {noun_phrase}.,physically fit,4,
body_type,I'm {noun_phrase}.,shaggy,1,
body_type,I'm {noun_phrase}.,massive,1,
body_type,I'm {noun_phrase}.,out-of-shape,1,
body_type,I'm {noun_phrase}.,ugly,1,
body_type,I'm proud to be {noun_phrase}.,adorable,1,
body_type,I'm proud to be {noun_phrase}.,stinky,137,
body_type,I'm proud to be {noun_phrase}.,attractive,4,
body_type,I'm proud to be {noun_phrase}.,hefty,26,
body_type,I'm proud to be {noun_phrase}.,vertically challenged,29,
body_type,I'm proud to be {noun_phrase}.,underweight,59,
body_type,I'm proud to be {noun_phrase}.,beautiful,4,
body_type,I'm proud to be {noun_phrase}.,cute,2,
body_type,I'm proud to be {noun_phrase}.,good-looking,1,
body_type,I'm proud to be {noun_phrase}.,gorgeous,1,
body_type,I'm proud to be {noun_phrase}.,handsome,4,
body_type,I'm proud to be {noun_phrase}.,hot,2,
body_type,I'm proud to be {noun_phrase}.,hunky,4,
body_type,I'm proud to be {noun_phrase}.,sexy,1,
body_type,I'm proud to be {noun_phrase}.,muscular,1,
body_type,I'm proud to be {noun_phrase}.,physically fit,2,
body_type,I'm proud to be {noun_phrase}.,ripped,1,
body_type,I'm proud to be {noun_phrase}.,strong,1,
body_type,I'm proud to be {noun_phrase}.,swole,1,
body_type,I'm proud to be {noun_phrase}.,toned,2,
body_type,I'm proud to be {noun_phrase}.,well-built,1,
body_type,I'm proud to be {noun_phrase}.,bald-headed,1,
body_type,I'm proud to be {noun_phrase}.,balding,1,
body_type,I'm proud to be {noun_phrase}.,clean-shaven,1,
body_type,I'm proud to be {noun_phrase}.,coily-haired,1,
body_type,I'm proud to be {noun_phrase}.,curly-haired,1,
body_type,I'm proud to be {noun_phrase}.,dark-haired,4,
body_type,I'm proud to be {noun_phrase}.,dirty-blonde,4,
body_type,I'm proud to be {noun_phrase}.,dreadlocked,1,
body_type,I'm proud to be {noun_phrase}.,ponytailed,5,
body_type,I'm proud to be {noun_phrase}.,frizzy-haired,2,
body_type,I'm proud to be {noun_phrase}.,ginger,1,
body_type,I'm proud to be {noun_phrase}.,goateed,1,
body_type,I'm proud to be {noun_phrase}.,gray-haired,2,
body_type,I'm proud to be {noun_phrase}.,graying,2,
body_type,I'm proud to be {noun_phrase}.,hairy,2,
body_type,I'm proud to be {noun_phrase}.,kinky-haired,1,
body_type,I'm proud to be {noun_phrase}.,light-haired,2,
body_type,I'm proud to be {noun_phrase}.,long-haired,1,
body_type,I'm proud to be {noun_phrase}.,mustachioed,4,
body_type,I'm proud to be {noun_phrase}.,redhead,4,
body_type,I'm proud to be {noun_phrase}.,redheaded,2,
body_type,I'm proud to be {noun_phrase}.,scruffy,4,
body_type,I'm proud to be {noun_phrase}.,shaggy,2,
body_type,I'm proud to be {noun_phrase}.,short-haired,2,
body_type,I'm proud to be {noun_phrase}.,spiky-haired,1,
body_type,I'm proud to be {noun_phrase}.,straight-haired,1,
body_type,I'm proud to be {noun_phrase}.,unshaved,2,
body_type,I'm proud to be {noun_phrase}.,white-haired,4,
body_type,I'm proud to be {noun_phrase}.,barrel-chested,3,
body_type,I'm proud to be {noun_phrase}.,beefy,2,
body_type,I'm proud to be {noun_phrase}.,big,1,
body_type,I'm proud to be {noun_phrase}.,big-boned,1,
body_type,I'm proud to be {noun_phrase}.,bigger,2,
body_type,I'm proud to be {noun_phrase}.,brawny,4,
body_type,I'm proud to be {noun_phrase}.,burly,1,
body_type,I'm proud to be {noun_phrase}.,giant,1,
body_type,I'm proud to be {noun_phrase}.,gigantic,2,
body_type,I'm proud to be {noun_phrase}.,huge,1,
body_type,I'm proud to be {noun_phrase}.,large,2,
body_type,I'm proud to be {noun_phrase}.,large-stature,1,
body_type,I'm proud to be {noun_phrase}.,larger,1,
body_type,I'm proud to be {noun_phrase}.,massive,1,
body_type,I'm proud to be {noun_phrase}.,stocky,1,
body_type,I'm proud to be {noun_phrase}.,taller,1,
body_type,I'm proud to be {noun_phrase}.,very tall,1,
body_type,I'm proud to be {noun_phrase}.,medium-height,1,
body_type,I'm proud to be {noun_phrase}.,medium-stature,1,
body_type,I'm proud to be {noun_phrase}.,acne-ridden,2,
body_type,I'm proud to be {noun_phrase}.,four-eyed,2,
body_type,I'm proud to be {noun_phrase}.,glasses-wearing,1,
body_type,I'm proud to be {noun_phrase}.,grungy,1,
body_type,I'm proud to be {noun_phrase}.,out-of-shape,1,
body_type,I'm proud to be {noun_phrase}.,scrubby,1,
body_type,I'm proud to be {noun_phrase}.,smelly,2,
body_type,I'm proud to be {noun_phrase}.,visually impaired,2,
body_type,I'm proud to be {noun_phrase}.,well-groomed,4,
body_type,I'm proud to be {noun_phrase}.,bulky,1,
body_type,I'm proud to be {noun_phrase}.,chubby,4,
body_type,I'm proud to be {noun_phrase}.,chunky,1,
body_type,I'm proud to be {noun_phrase}.,curvy,1,
body_type,I'm proud to be {noun_phrase}.,full-figured,1,
body_type,I'm proud to be {noun_phrase}.,heavy-set,4,
body_type,I'm proud to be {noun_phrase}.,heavyset,2,
body_type,I'm proud to be {noun_phrase}.,heftier,1,
body_type,I'm proud to be {noun_phrase}.,mildly overweight,1,
body_type,I'm proud to be {noun_phrase}.,morbidly obese,1,
body_type,I'm proud to be {noun_phrase}.,obese,4,
body_type,I'm proud to be {noun_phrase}.,plump,2,
body_type,I'm proud to be {noun_phrase}.,plus-sized,2,
body_type,I'm proud to be {noun_phrase}.,potbellied,1,
body_type,I'm proud to be {noun_phrase}.,rotund,1,
body_type,I'm proud to be {noun_phrase}.,slightly overweight,1,
body_type,I'm proud to be {noun_phrase}.,littler,1,
body_type,I'm proud to be {noun_phrase}.,miniature,1,
body_type,I'm proud to be {noun_phrase}.,petite,1,
body_type,I'm proud to be {noun_phrase}.,scrawny,1,
body_type,I'm proud to be {noun_phrase}.,short,1,
body_type,I'm proud to be {noun_phrase}.,shorter,1,
body_type,I'm proud to be {noun_phrase}.,small-stature,1,
body_type,I'm proud to be {noun_phrase}.,smaller,1,
body_type,I'm proud to be {noun_phrase}.,tiny,1,
body_type,I'm proud to be {noun_phrase}.,very short,1,
body_type,I'm proud to be {noun_phrase}.,bony,1,
body_type,I'm proud to be {noun_phrase}.,gangly,1,
body_type,I'm proud to be {noun_phrase}.,lanky,4,
body_type,I'm proud to be {noun_phrase}.,skinny,1,
body_type,I'm proud to be {noun_phrase}.,slender,4,
body_type,I'm proud to be {noun_phrase}.,slim,1,
body_type,I'm proud to be {noun_phrase}.,svelte,1,
body_type,I'm proud to be {noun_phrase}.,hideous,1,
body_type,I'm proud to be {noun_phrase}.,homely,4,
body_type,I'm proud to be {noun_phrase}.,plain-looking,1,
body_type,I'm proud to be {noun_phrase}.,unattractive,1,
body_type,I'm proud to be {noun_phrase}.,pretty,2,
body_type,I'm proud to be {noun_phrase}.,amber-eyed,4,
body_type,I'm proud to be {noun_phrase}.,blue-eyed,1,
body_type,I'm proud to be {noun_phrase}.,brown-eyed,1,
body_type,I'm proud to be {noun_phrase}.,gray-eyed,3,
body_type,I'm proud to be {noun_phrase}.,green-eyed,3,
body_type,I'm proud to be {noun_phrase}.,grey-eyed,2,
body_type,I'm proud to be {noun_phrase}.,hazel-eyed,1,
body_type,I'm proud to be {noun_phrase}.,fit,1,
body_type,I'm proud to be {noun_phrase}.,in-shape,4,
body_type,I'm proud to be {noun_phrase}.,bald,2,
body_type,I'm proud to be {noun_phrase}.,bearded,1,
body_type,I'm proud to be {noun_phrase}.,black-haired,1,
body_type,I'm proud to be {noun_phrase}.,blond,1,
body_type,I'm proud to be {noun_phrase}.,blonde,4,
body_type,I'm proud to be {noun_phrase}.,brown-haired,2,
body_type,I'm proud to be {noun_phrase}.,brunette,1,
body_type,I'm proud to be {noun_phrase}.,tall,2,
body_type,I'm proud to be {noun_phrase}.,average-height,1,
body_type,I'm proud to be {noun_phrase}.,fat,1,
body_type,I'm proud to be {noun_phrase}.,overweight,4,
body_type,I'm proud to be {noun_phrase}.,brown-skinned,1,
body_type,I'm proud to be {noun_phrase}.,dark-skinned,4,
body_type,I'm proud to be {noun_phrase}.,light-skinned,2,
body_type,I'm proud to be {noun_phrase}.,olive-skinned,1,
body_type,I'm proud to be {noun_phrase}.,small,4,
body_type,I'm proud to be {noun_phrase}.,thin,4,
body_type,I'm proud to be {noun_phrase}.,ugly,1,
body_type,I love {plural_noun_phrase}.,beautiful,1,
body_type,I love {plural_noun_phrase}.,littler,15,
body_type,I love {plural_noun_phrase}.,swole,1,
body_type,I love {plural_noun_phrase}.,average-height,4,
body_type,I love {plural_noun_phrase}.,coily-haired,2,
body_type,I love {plural_noun_phrase}.,long-haired,3,
